filename,number_lists,number_obs
aus-nsw-algie_park.RDS,0,0
aus-nsw-allman_park.RDS,0,0
aus-nsw-baker_park.RDS,0,0
aus-nsw-bangor_park.RDS,0,0
aus-nsw-banool_street_green.RDS,0,0
aus-nsw-barwon_park.RDS,0,0
aus-nsw-blenheim_park.RDS,0,0
aus-nsw-bondi_golf_course.RDS,0,5
aus-nsw-booralee_park.RDS,0,0
aus-nsw-botany_aquatic_centre.RDS,0,0
aus-nsw-broadarrow_reserve.RDS,1,6
aus-nsw-burwood_park.RDS,0,1
aus-nsw-campbell_hill_pioneer_reserve.RDS,8,502
aus-nsw-carnarvon_golf_course.RDS,0,0
aus-nsw-chant_reserve.RDS,0,0
aus-nsw-chifley_public_school.RDS,0,0
aus-nsw-chifley_sports_reserve.RDS,6,57
aus-nsw-coleman_park.RDS,0,0
aus-nsw-cooinoo_reserve.RDS,0,0
aus-nsw-cooper_park.RDS,5,68
aus-nsw-coral_sea_park.RDS,0,0
aus-nsw-dacey_gardens.RDS,1,9
aus-nsw-daniel_street_green.RDS,0,0
aus-nsw-denistone_park.RDS,0,0
aus-nsw-doctor_walters_park.RDS,0,0
aus-nsw-dora_crescent_green.RDS,0,0
aus-nsw-dunbar_park.RDS,0,0
aus-nsw-eastwood_heights_public_school.RDS,0,0
aus-nsw-eccles_reserve.RDS,0,0
aus-nsw-emerson_park.RDS,0,0
aus-nsw-finucane_reserve.RDS,0,0
aus-nsw-fitzpatrick_park.RDS,0,0
aus-nsw-fred_williams_reserve.RDS,0,0
aus-nsw-gabee_reserve.RDS,0,0
aus-nsw-gaiarine_gardens.RDS,0,0
aus-nsw-garnet_jackson_reserve.RDS,0,0
aus-nsw-george_gollan_reserve.RDS,0,0
aus-nsw-gollan_park.RDS,0,0
aus-nsw-grant_park.RDS,0,0
aus-nsw-hammond_park.RDS,0,0
aus-nsw-heffron_park.RDS,0,0
aus-nsw-henley_park.RDS,0,0
aus-nsw-hensley_athletic_field.RDS,0,0
aus-nsw-high_cross_park.RDS,0,0
aus-nsw-high_street_community_library.RDS,0,0
aus-nsw-housman_park.RDS,0,0
aus-nsw-inveresk_park.RDS,0,0
aus-nsw-irene_park.RDS,0,0
aus-nsw-jellicoe_park.RDS,0,0
aus-nsw-jensen_park.RDS,0,0
aus-nsw-jim_walsh_park.RDS,0,0
aus-nsw-john_shore_park.RDS,0,0
